Dataset,Series ID,Partition,Time,Value
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2019-02-01,25.76
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2019-03-01,25.6
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2019-04-01,25.8
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2019-05-01,25.66
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2019-06-01,25.817
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2019-07-01,25.445
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2019-08-01,25.66
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2019-09-01,25.915
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2019-10-01,25.815
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2019-11-01,25.51
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2019-12-01,25.515
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2020-01-01,25.41
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2020-02-01,25.21
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2020-03-01,25.39
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2020-04-01,27.325
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2020-05-01,27.095
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2020-06-01,26.915
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2020-07-01,26.74
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2020-08-01,26.175
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2020-09-01,26.21
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2020-10-01,27.21
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2020-11-01,27.25
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2020-12-01,26.19
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2021-01-01,26.245
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2021-02-01,26.02
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2021-03-01,26.195
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2021-04-01,26.145
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2021-05-01,25.885
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2021-06-01,25.45
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2021-07-01,25.485
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2021-08-01,25.5
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2021-09-01,25.525
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2021-10-01,25.495
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2021-11-01,25.695
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2021-12-01,25.525
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2022-01-01,24.86
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2022-02-01,24.365
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2022-03-01,24.995
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2022-04-01,24.385
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2022-05-01,24.605
